2024/04/01 14:24:16 [INFO] Receive Message:{"Ret":"ActBetFinish","Data":{"seatId":3}}
2024/04/01 14:24:32 [INFO] Receive Message:{"Ret":"ActGamePeriod","Data":{"Fsm":"Deal","Gid":"2001-1774684155095814144","RemainSec":3,"TimeStamp":1711952672257}}
2024/04/01 14:24:32 [INFO] Receive Message:{"Ret":"ActGold","Data":{"Gold":999994}}
2024/04/01 14:24:32 [INFO] Receive Message:{"Ret":"ActSeatOwner","Data":{"seatOwner":[{"seatId":0,"name":"****cia","parentSeat":0},{"seatId":1,"name":"****mon","parentSeat":1},{"seatId":2,"name":"****a96","parentSeat":2},{"seatId":3,"name":"****nna","parentSeat":3}]}}
2024/04/01 14:24:32 [INFO] Receive Message:{"Ret":"ActTableBetData","Data":{"tableBetData":[{"seatId":0,"bet":[165,0],"Gold":29181.7},{"seatId":1,"bet":[3,0],"Gold":999994},{"seatId":2,"bet":[150,0],"Gold":17494.9},{"seatId":3,"bet":[300,0],"Gold":11972}]}}
2024/04/01 14:24:32 [INFO] Receive Message:{"Ret":"ActDealCard","Data":{"bankerCards":[13,-1],"playerCards":[[7,30],[40,5],[24,17],[48,50],[]],"point":[13,8,15,20,0]}}
2024/04/01 14:24:32 [INFO] Receive Message:{"Ret":"ActGamePeriod","Data":{"Fsm":"Insurance","Gid":"2001-1774684155095814144","RemainSec":10,"TimeStamp":1711952672365}}
2024/04/01 14:24:33 [INFO] Receive Message:{"Ret":"ActInsurance","Data":{"seatId":3,"isbuy":false,"gold":0}}
2024/04/01 14:24:34 [INFO] Receive Message:{"Ret":"ActInsurance","Data":{"seatId":2,"isbuy":false,"gold":0}}
2024/04/01 14:24:35 [INFO] Receive Message:{"Ret":"ActInsurance","Data":{"seatId":0,"isbuy":false,"gold":0}}
2024/04/01 14:24:42 [INFO] Receive Message:{"Ret":"ActGamePeriod","Data":{"Fsm":"Play","Gid":"2001-1774684155095814144","RemainSec":20,"TimeStamp":1711952682357}}
2024/04/01 14:24:42 [INFO] Receive Message:{"Ret":"ActTokenPlayerSeat","Data":{"SeatId":0}}
2024/04/01 14:24:43 [INFO] Receive Message:{"Ret":"ActHitCard","Data":{"seatId":0,"card":32,"bust":false,"point":20,"is21Point":false,"isFiveDragon":false,"isBlackJack":false}}
2024/04/01 14:24:45 [INFO] Receive Message:{"Ret":"ActStop","Data":{"SeatId":0}}
2024/04/01 14:24:45 [INFO] Receive Message:{"Ret":"ActGamePeriod","Data":{"Fsm":"Play","Gid":"2001-1774684155095814144","RemainSec":20,"TimeStamp":1711952685556}}
2024/04/01 14:24:45 [INFO] Receive Message:{"Ret":"ActTokenPlayerSeat","Data":{"SeatId":1}}
2024/04/01 14:25:05 [INFO] Receive Message:{"Ret":"ActGamePeriod","Data":{"Fsm":"Play","Gid":"2001-1774684155095814144","RemainSec":20,"TimeStamp":1711952705552}}
2024/04/01 14:25:05 [INFO] Receive Message:{"Ret":"ActTokenPlayerSeat","Data":{"SeatId":2}}
2024/04/01 14:25:07 [INFO] Receive Message:{"Ret":"ActHitCard","Data":{"seatId":2,"card":37,"bust":true,"point":25,"is21Point":false,"isFiveDragon":false,"isBlackJack":false}}
2024/04/01 14:25:09 [INFO] Receive Message:{"Ret":"ActGamePeriod","Data":{"Fsm":"Play","Gid":"2001-1774684155095814144","RemainSec":20,"TimeStamp":1711952709060}}
2024/04/01 14:25:09 [INFO] Receive Message:{"Ret":"ActTokenPlayerSeat","Data":{"SeatId":3}}
