2023/09/18 14:33:08 [INFO] Receive Message:{"Ret":"ActHitCard","Data":{"seatId":1,"card":36,"bust":true,"point":24,"is21Point":false,"isFiveDragon":false,"isBlackJack":false}}
2023/09/18 14:33:10 [INFO] Receive Message:{"Ret":"ActGamePeriod","Data":{"Fsm":"Play","Gid":"2001-1703658241994526720","RemainSec":20}}
2023/09/18 14:33:10 [INFO] Receive Message:{"Ret":"ActTokenPlayerSeat","Data":{"SeatId":2}}
2023/09/18 14:33:11 [INFO] Receive Message:{"Ret":"ActHitCard","Data":{"seatId":2,"card":49,"bust":true,"point":22,"is21Point":false,"isFiveDragon":false,"isBlackJack":false}}
2023/09/18 14:33:13 [INFO] Receive Message:{"Ret":"ActGamePeriod","Data":{"Fsm":"Play","Gid":"2001-1703658241994526720","RemainSec":20}}
2023/09/18 14:33:13 [INFO] Receive Message:{"Ret":"ActTokenPlayerSeat","Data":{"SeatId":3}}
2023/09/18 14:33:33 [INFO] Receive Message:{"Ret":"ActGamePeriod","Data":{"Fsm":"Play","Gid":"2001-1703658241994526720","RemainSec":20}}
2023/09/18 14:33:33 [INFO] Receive Message:{"Ret":"ActTokenPlayerSeat","Data":{"SeatId":4}}
2023/09/18 14:33:36 [INFO] Receive Message:{"Ret":"ActHitCard","Data":{"seatId":4,"card":3,"bust":false,"point":16,"is21Point":false,"isFiveDragon":false,"isBlackJack":false}}
2023/09/18 14:33:38 [INFO] Receive Message:{"Ret":"ActHitCard","Data":{"seatId":4,"card":25,"bust":true,"point":26,"is21Point":false,"isFiveDragon":false,"isBlackJack":false}}
2023/09/18 14:33:40 [INFO] Receive Message:{"Ret":"ActGamePeriod","Data":{"Fsm":"Play","Gid":"2001-1703658241994526720","RemainSec":20}}
2023/09/18 14:33:43 [INFO] Receive Message:{"Ret":"ActGamePeriod","Data":{"Fsm":"Open","Gid":"2001-1703658241994526720","RemainSec":4}}
2023/09/18 14:33:43 [INFO] Receive Message:{"Ret":"ActBankerCard","Data":{"bust":false,"cards":[13,28,15],"point":17,"is21Point":false,"isFiveDragon":false,"isBlackJack":false}}
2023/09/18 14:35:08 [ERROR] read tcp [::1]:54108->[::1]:10001: wsarecv: An existing connection was forcibly closed by the remote host.
2023/09/18 14:36:04 [INFO] 連線中斷
2023/09/18 14:36:10 [INFO] Connect Success
2023/09/18 14:36:12 [INFO] Receive Message:{"Code":0,"Ret":"Login","Message":"success","Data":{"Gold":999988,"IconID":0,"Name":"Test_simon","UserId":88342761,"MatchGameCode":"","MatchGameTableId":0,"Version":"1.0.0","Marquee":null,"is_relogin":false}}
2023/09/18 14:36:16 [INFO] Receive Message:{"Ret":"DebugMatchType","Data":{"matchtype":0}}
2023/09/18 14:36:16 [INFO] Receive Message:{"Code":0,"Ret":"JoinGame","Message":"success","Data":{"Gid":"","BankerCards":[],"BankerCardPoint":0,"BetLimit":[[3,300]],"Chips":[3,15,30,75,150,300],"RemainSec":1,"BetInfo":{},"TableCards":{},"PlayerInfo":[{"seatId":2,"iconId":0,"name":"Test_simon","gold":999988,"IsBetFinish":false,"IsDouble":[false,false],"isSitDown":true,"point":[0,0],"is21Point":[false,false],"isFiveDragon":[false,false],"isBlackJack":[false,false],"bust":[false,false],"isSetInsurance":false,"isInsurance":false,"insuranceGold":0,"parentSeat":2}],"Fsm":"Init","TokenPlayerSeatInfo":{"seatId":-1,"splittime":0},"result":[]}}
2023/09/18 14:36:17 [INFO] Receive Message:{"Ret":"ActGamePeriod","Data":{"Fsm":"Match","Gid":"2001-1703659189542326272","RemainSec":3}}
2023/09/18 14:36:20 [INFO] Receive Message:{"Ret":"ActTableStatus","Data":{"tablePlayerInfo":[{"seatId":2,"iconId":0,"name":"****mon","gold":999988,"isSitDown":true},{"seatId":3,"iconId":1,"name":"****ora","gold":105765.7,"isSitDown":true},{"seatId":4,"iconId":7,"name":"****the","gold":146619,"isSitDown":true}]}}
2023/09/18 14:36:20 [INFO] Receive Message:{"Ret":"ActGamePeriod","Data":{"Fsm":"Bet","Gid":"2001-1703659189542326272","RemainSec":20}}
2023/09/18 14:36:25 [INFO] Receive Message:{"Ret":"ActSeatOwner","Data":{"seatOwner":[{"seatId":2,"name":"****mon","parentSeat":2},{"seatId":3,"name":"****ora","parentSeat":3},{"seatId":4,"name":"****the","parentSeat":4}]}}
2023/09/18 14:36:25 [INFO] Receive Message:{"Ret":"ActTableBetData","Data":{"tableBetData":[{"seatId":2,"bet":[0,0],"Gold":999988},{"seatId":3,"bet":[0,0],"Gold":105765.7},{"seatId":4,"bet":[240,0],"Gold":146379}]}}
2023/09/18 14:36:25 [INFO] Receive Message:{"Ret":"ActBetFinish","Data":{"seatId":4}}
2023/09/18 14:36:25 [INFO] Receive Message:{"Ret":"ActSeatOwner","Data":{"seatOwner":[{"seatId":2,"name":"****mon","parentSeat":2},{"seatId":3,"name":"****ora","parentSeat":3},{"seatId":4,"name":"****the","parentSeat":4}]}}
2023/09/18 14:36:25 [INFO] Receive Message:{"Ret":"ActTableBetData","Data":{"tableBetData":[{"seatId":2,"bet":[0,0],"Gold":999988},{"seatId":3,"bet":[300,0],"Gold":105465.7},{"seatId":4,"bet":[240,0],"Gold":146379}]}}
2023/09/18 14:36:25 [INFO] Receive Message:{"Ret":"ActBetFinish","Data":{"seatId":3}}
2023/09/18 14:36:40 [INFO] Receive Message:{"Ret":"ActGamePeriod","Data":{"Fsm":"Deal","Gid":"2001-1703659189542326272","RemainSec":3}}
2023/09/18 14:36:40 [INFO] Receive Message:{"Ret":"ActGold","Data":{"Gold":999985}}
2023/09/18 14:36:40 [INFO] Receive Message:{"Ret":"ActSeatOwner","Data":{"seatOwner":[{"seatId":2,"name":"****mon","parentSeat":2},{"seatId":3,"name":"****ora","parentSeat":3},{"seatId":4,"name":"****the","parentSeat":4}]}}
2023/09/18 14:36:40 [INFO] Receive Message:{"Ret":"ActTableBetData","Data":{"tableBetData":[{"seatId":2,"bet":[3,0],"Gold":999985},{"seatId":3,"bet":[300,0],"Gold":105465.7},{"seatId":4,"bet":[240,0],"Gold":146379}]}}
2023/09/18 14:36:40 [INFO] Receive Message:{"Ret":"ActDealCard","Data":{"bankerCards":[0,-1],"playerCards":[[],[],[4,41],[43,13],[11,14]],"point":[0,0,8,16,12]}}
2023/09/18 14:36:41 [INFO] Receive Message:{"Ret":"ActGamePeriod","Data":{"Fsm":"Insurance","Gid":"2001-1703659189542326272","RemainSec":10}}
2023/09/18 14:36:51 [INFO] Receive Message:{"Ret":"ActGamePeriod","Data":{"Fsm":"Play","Gid":"2001-1703659189542326272","RemainSec":20}}
2023/09/18 14:36:51 [INFO] Receive Message:{"Ret":"ActTokenPlayerSeat","Data":{"SeatId":2}}
2023/09/18 14:37:11 [INFO] Receive Message:{"Ret":"ActGamePeriod","Data":{"Fsm":"Play","Gid":"2001-1703659189542326272","RemainSec":20}}
2023/09/18 14:37:11 [INFO] Receive Message:{"Ret":"ActTokenPlayerSeat","Data":{"SeatId":3}}
2023/09/18 14:37:12 [INFO] Receive Message:{"Ret":"ActHitCard","Data":{"seatId":3,"card":44,"bust":false,"point":12,"is21Point":false,"isFiveDragon":false,"isBlackJack":false}}
2023/09/18 14:37:14 [INFO] Receive Message:{"Ret":"ActHitCard","Data":{"seatId":3,"card":1,"bust":false,"point":14,"is21Point":false,"isFiveDragon":false,"isBlackJack":false}}
2023/09/18 14:37:17 [INFO] Receive Message:{"Ret":"ActHitCard","Data":{"seatId":3,"card":8,"bust":true,"point":23,"is21Point":false,"isFiveDragon":true,"isBlackJack":false}}
2023/09/18 14:37:19 [INFO] Receive Message:{"Ret":"ActGamePeriod","Data":{"Fsm":"Play","Gid":"2001-1703659189542326272","RemainSec":20}}
2023/09/18 14:37:19 [INFO] Receive Message:{"Ret":"ActTokenPlayerSeat","Data":{"SeatId":4}}
2023/09/18 14:37:22 [INFO] Receive Message:{"Ret":"ActHitCard","Data":{"seatId":4,"card":40,"bust":false,"point":14,"is21Point":false,"isFiveDragon":false,"isBlackJack":false}}
2023/09/18 14:37:23 [INFO] Receive Message:{"Ret":"ActHitCard","Data":{"seatId":4,"card":46,"bust":true,"point":22,"is21Point":false,"isFiveDragon":false,"isBlackJack":false}}
2023/09/18 14:37:25 [INFO] Receive Message:{"Ret":"ActGamePeriod","Data":{"Fsm":"Play","Gid":"2001-1703659189542326272","RemainSec":20}}
2023/09/18 14:37:28 [INFO] Receive Message:{"Ret":"ActGamePeriod","Data":{"Fsm":"Open","Gid":"2001-1703659189542326272","RemainSec":4}}
2023/09/18 14:37:28 [INFO] Receive Message:{"Ret":"ActBankerCard","Data":{"bust":false,"cards":[0,50],"point":21,"is21Point":true,"isFiveDragon":false,"isBlackJack":true}}
2023/09/18 14:38:54 [ERROR] read tcp [::1]:54199->[::1]:10001: wsarecv: An existing connection was forcibly closed by the remote host.
2023/09/18 14:41:05 [INFO] 連線中斷
2023/09/18 14:41:07 [INFO] Connect Success
2023/09/18 14:41:09 [INFO] Receive Message:{"Code":0,"Ret":"Login","Message":"success","Data":{"Gold":999985,"IconID":0,"Name":"Test_simon","UserId":88342761,"MatchGameCode":"","MatchGameTableId":0,"Version":"1.0.0","Marquee":null,"is_relogin":false}}
2023/09/18 14:41:13 [INFO] Receive Message:{"Ret":"DebugMatchType","Data":{"matchtype":0}}
2023/09/18 14:41:13 [INFO] Receive Message:{"Code":0,"Ret":"JoinGame","Message":"success","Data":{"Gid":"","BankerCards":[],"BankerCardPoint":0,"BetLimit":[[3,300]],"Chips":[3,15,30,75,150,300],"RemainSec":1,"BetInfo":{},"TableCards":{},"PlayerInfo":[{"seatId":0,"iconId":0,"name":"Test_simon","gold":999985,"IsBetFinish":false,"IsDouble":[false,false],"isSitDown":true,"point":[0,0],"is21Point":[false,false],"isFiveDragon":[false,false],"isBlackJack":[false,false],"bust":[false,false],"isSetInsurance":false,"isInsurance":false,"insuranceGold":0,"parentSeat":0}],"Fsm":"Init","TokenPlayerSeatInfo":{"seatId":-1,"splittime":0},"result":[]}}
2023/09/18 14:41:14 [INFO] Receive Message:{"Ret":"ActGamePeriod","Data":{"Fsm":"Match","Gid":"2001-1703660431748370432","RemainSec":3}}
2023/09/18 14:41:17 [INFO] Receive Message:{"Ret":"ActTableStatus","Data":{"tablePlayerInfo":[{"seatId":0,"iconId":0,"name":"****mon","gold":999985,"isSitDown":true},{"seatId":1,"iconId":6,"name":"****k91","gold":135581.2,"isSitDown":true},{"seatId":4,"iconId":100,"name":"****een","gold":198191,"isSitDown":true}]}}
2023/09/18 14:41:17 [INFO] Receive Message:{"Ret":"ActGamePeriod","Data":{"Fsm":"Bet","Gid":"2001-1703660431748370432","RemainSec":20}}
