2023/07/19 13:50:09 [ERROR] 未選擇環境
2023/07/19 13:50:11 [INFO] Connect Success
2023/07/19 13:50:18 [INFO] Receive Message:{"Code":0,"Ret":"Login","Message":"success","Data":{"Gold":1999999,"IconID":0,"Name":"Test_simon","UserId":86114878,"MatchGameCode":"","MatchGameTableId":0,"Version":"1.0.0","Marquee":null,"is_relogin":false}}
2023/07/19 13:50:21 [INFO] Receive Message:{"Code":0,"Ret":"IntoGame","Message":"success","Data":{"Gid":"","BetLimit":[[0.1,1]],"Chips":[0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1],"RemainSec":1,"PlayerInfo":[{"seatId":3,"iconId":0,"name":"Test_simon","gold":1999999}],"Fsm":"Init"}}
2023/07/19 13:50:22 [INFO] Receive Message:{"Ret":"ActGamePeriod","Data":{"Fsm":"Loading","Gid":"","RemainSec":3}}
2023/07/19 13:50:22 [INFO] Receive Message:{"Ret":"ActTableStatus","Data":{"tablePlayerInfo":[{"seatId":0,"iconId":107,"name":"****e76","gold":126811},{"seatId":3,"iconId":0,"name":"****mon","gold":1999999}]}}
2023/07/19 13:50:27 [INFO] Receive Message:{"Ret":"ActSceneNotify","Data":{"scene":1,"stage":1}}
2023/07/19 13:50:27 [INFO] Receive Message:{"Ret":"ActGamePeriod","Data":{"Fsm":"Shu","Gid":"3002-1681541986705739776","RemainSec":60}}
2023/07/19 13:50:27 [INFO] Receive Message:{"Ret":"ActCreateFish","Data":{"fishinfo":[{"index":55,"fishtype":1,"cts":1689745828,"route":"R7_L7_1","speed":68},{"index":78,"fishtype":1,"cts":1689745828,"route":"L1_R1_1","speed":68}],"formation":null}}
2023/07/19 13:50:27 [INFO] Receive Message:{"Ret":"ActCreateFish","Data":{"fishinfo":[{"index":12,"fishtype":3,"cts":1689745829,"route":"L4_R5","speed":68},{"index":56,"fishtype":1,"cts":1689745829,"route":"R7_L7_1","speed":68},{"index":68,"fishtype":3,"cts":1689745829,"route":"R4_L6","speed":68},{"index":72,"fishtype":2,"cts":1689745829,"route":"R6_L4","speed":68},{"index":79,"fishtype":1,"cts":1689745829,"route":"L1_R1_1","speed":68},{"index":103,"fishtype":2,"cts":1689745829,"route":"L6_R2","speed":68}],"formation":null}}
2023/07/19 13:50:28 [INFO] Receive Message:{"Ret":"ActCreateFish","Data":{"fishinfo":[{"index":57,"fishtype":1,"cts":1689745830,"route":"R7_L7_1","speed":68},{"index":80,"fishtype":1,"cts":1689745830,"route":"L1_R1_1","speed":68}],"formation":null}}
